fund_cik,sample_fund_name,n_rows_to_update,aum_billions,target_entity_id,target_canonical_name,target_entity_type,target_classification
0000013075,Bond Fund of America,5801,101.149752,26537,Bond Fund of America,institution,active
0000050142,Tax Exempt Bond Fund of America,10606,48.164858,26538,Tax Exempt Bond Fund of America,institution,active
0000826813,Intermediate Bond Fund of America,2849,28.536743,26542,Intermediate Bond Fund of America,institution,active
0000925950,American High-Income Municipal Bond Fund,7418,26.592803,26543,American High-Income Municipal Bond Fund,institution,active
0000823620,American High Income Trust,1027,26.300655,26544,American High Income Trust,institution,active
0001475712,Global Opportunities Portfolio,2964,24.585991,26545,Global Opportunities Portfolio,institution,active
0001484750,"Cohen & Steers Preferred Securities & Income Fund, Inc.",581,14.830780,26549,"COHEN & STEERS PREFERRED SECURITIES & INCOME FUND, INC.",institution,active
0000933188,Senior Debt Portfolio,1349,13.746831,26550,Senior Debt Portfolio,institution,active
0001368040,Short-Term Bond Fund of America,1432,12.596046,26551,Short-Term Bond Fund of America,institution,active
0000909427,Limited Term Tax Exempt Bond Fund of America,3843,11.891701,26552,Limited Term Tax Exempt Bond Fund of America,institution,active
0001493214,Global Macro Absolute Return Advantage Portfolio,2484,11.643931,26554,Global Macro Absolute Return Advantage Portfolio,institution,active
0000812303,Capital World Bond Fund,2574,9.864997,26555,Capital World Bond Fund,institution,active
0001791032,Axonic Strategic Income Fund,1046,7.969505,26557,AXONIC FUNDS,institution,active
0000883676,"AB GLOBAL BOND FUND, INC.",1788,7.406895,26561,"AB GLOBAL BOND FUND, INC.",institution,active
0000225030,AFL CIO Housing Investment Trust,874,7.388534,26562,AFL CIO Housing Investment Trust,institution,active
0000915845,AB HIGH INCOME FUND INC,2135,6.245252,26565,AB HIGH INCOME FUND INC,institution,active
0000918706,Global Macro Portfolio,2461,6.137825,26568,Global Macro Portfolio,institution,active
0001766436,Leader Capital High Quality Income Fund,816,4.248417,26590,Leader Funds Trust,institution,active
0001078195,CCM Community Impact Bond Fund,2574,3.839410,26588,COMMUNITY CAPITAL TRUST,institution,active
0001652200,"Cohen & Steers Low Duration Preferred and Income Fund, Inc.",500,3.671495,26591,"Cohen & Steers Low Duration Preferred & Income Fund, Inc.",institution,active
0000921370,HIGH INCOME OPPORTUNITIES PORTFOLIO,962,3.471340,26593,High Income Opportunities Portfolio,institution,active
0001981627,GMO U.S. Quality ETF,204,3.095225,26600,GMO ETF Trust,institution,active
0001394395,Emerging Markets Local Income Portfolio,2067,3.002834,26601,Emerging Markets Local Income Portfolio,institution,active
