fund_cik,sample_fund_name,n_rows,aum_billions
0000013075,Bond Fund of America,5801,101.14975189657
0000050142,Tax Exempt Bond Fund of America,10606,48.16485842352009
0000826813,Intermediate Bond Fund of America,2849,28.536743012329993
0000925950,American High-Income Municipal Bond Fund,7418,26.592802561939994
0000823620,American High Income Trust,1027,26.300655375680005
0001475712,Global Opportunities Portfolio,2964,24.58599130034005
0001484750,"Cohen & Steers Preferred Securities & Income Fund, Inc.",581,14.830779543739991
0000933188,Senior Debt Portfolio,1349,13.746830859420003
0001368040,Short-Term Bond Fund of America,1432,12.596046447450014
0000909427,Limited Term Tax Exempt Bond Fund of America,3843,11.891700568969995
0001493214,Global Macro Absolute Return Advantage Portfolio,2484,11.643930914339993
0000812303,Capital World Bond Fund,2574,9.864997061990021
0001791032,Axonic Strategic Income Fund,1046,7.969504637659996
0000883676,"AB GLOBAL BOND FUND, INC.",1788,7.406895027370005
0000225030,AFL CIO Housing Investment Trust,874,7.388534378770001
0000915845,AB HIGH INCOME FUND INC,2135,6.245251554769979
0000918706,Global Macro Portfolio,2461,6.13782523457001
0002025968,BNY Mellon Active Core Bond ETF,2061,5.054680991422998
0001364924,Strategic Advisers Fidelity Short Duration Fund,356,5.027819200069995
0001766436,Leader Capital High Quality Income Fund,816,4.24841661163
0001078195,CCM Community Impact Bond Fund,2574,3.839409901079992
0001652200,"Cohen & Steers Low Duration Preferred and Income Fund, Inc.",500,3.6714954418900008
0000921370,HIGH INCOME OPPORTUNITIES PORTFOLIO,962,3.471339785819998
0001981627,GMO U.S. Quality ETF,204,3.0952252873499955
0001394395,Emerging Markets Local Income Portfolio,2067,3.002834052540005
0000810744,Colorado BondShares A Tax Exempt Fund,652,2.761676242558002
0001557794,Blackstone Alternative Multi-Strategy Fund,7152,2.540851766070007
0002055464,Dan IVES Wedbush AI Revolution ETF,62,2.0613884279700008
0000002646,VOYA INTERMEDIATE BOND PORTFOLIO,3905,1.845505996600002
0001104129,Core Bond Portfolio,765,1.7121086887500017
0000215740,ELFUN TAX EXEMPT INCOME FUND,964,1.643298075969999
0001606378,EUBEL BRADY & SUTTMAN INCOME AND APPRECIATION FUND,170,1.1411303468000005
0001166729,Bernstein Intermediate Duration Institutional Portfolio,598,0.9437288538899999
0001760077,Preferred Securities and Income SMA Shares,492,0.8697885871599997
0001928846,Short Duration Inflation-Protected Income Portfolio,84,0.8566665378899999
0001496608,AB US Equity ETF,796,0.6588206565100002
0001924447,THOR Index Rotation ETF,31,0.4850598058
0001090682,VY BrandyWineGLOBAL - Bond Portfolio,89,0.45771202696
0001492374,Destra Flaherty & Crumrine Preferred and Income Fund,429,0.44878749590999933
0000906236,Macquarie Tax-Free Idaho Fund,333,0.38681223687000005
0000750909,Hawaiian Tax-Free Trust,96,0.36850846247999997
0000925737,Hawaii Municipal Bond Fund,428,0.33907897202000004
0001225290,Series M,71,0.3223627317900001
0000072760,NORTHEAST INVESTORS TRUST,89,0.25631440978128006
0000870355,CCM Affordable Housing MBS ETF,496,0.22117220963000064
0002069687,FIS Bright Portfolios Focused Equity ETF,121,0.1956785342699999
0001796383,Siren DIVCON Leaders Dividend ETF,171,0.17710503965000005
0001026634,Renaissance IPO ETF,115,0.15001395301000003
0001847310,"Short Term Investment Fund for Puerto Rico Residents, Inc.",27,0.13551963009
0000717854,ELFUN INCOME FUND,1059,0.13466465184000004
0001779306,AltShares Event-Driven ETF,357,0.10929767113999997
0002048903,E*TRADE No Fee Municipal Bond Index Fund,398,0.09940839833999997
0001866278,Atlas U.S. Tactical Income Fund,78,0.07530497794999998
0001643838,IDX Adaptive Opportunities Fund,63,0.07065009522999996
0001843749,"U.S. Monthly Income Fund for Puerto Rico Residents, Inc.",62,0.06954608302000001
0002062986,Crossmark Large Cap Growth ETF,163,0.06519729586999998
0001969995,Macquarie National High-Yield Municipal Bond ETF,247,0.06020596846000001
0002043390,LOGIQ Contrarian Opportunities ETF,73,0.05787981918999999
0001532206,Arrow Dow Jones Global Yield ETF,289,0.054136782029999955
0001667919,FT Vest U.S. Equity Buffer & Digital Return ETF - January,34,0.04692441414999999
0002065379,Man Active High Yield ETF,169,0.03961694847
0002060415,First Eagle High Yield Municipal Completion Fund,140,0.032320092509999995
0000945908,Fidelity CLO ETF,20,0.028461500799999997
0001208252,CM ADVISORS FIXED INCOME FUND,82,0.027809060309999984
0001852344,International Portfolio I,231,0.026690698170000013
0001100663,iShares Total USD Fixed Income Market ETF,825,0.026455210990000005
0001875710,Build Bond Innovation ETF,221,0.021889862240000005
0001562565,Fidelity AAA CLO ETF,59,0.020179032399999998
0000879947,AMG GW&K Muni Income ETF,51,0.01039009861
0001722388,VistaShares Target 15 S&P 100 Distribution ETF,166,0.0061636945599999994
0001345125,Cyber Hornet S&P 500 and Bitcoin 75/25 Strategy ETF,505,0.006088753800000005
0001953487,Fundamentals First ETF,93,0.005703688019999998
0001901443,X-Square Municipal Income ETF,14,0.00447884169
0001924868,IncomeSTKd 1x Bitcoin & 1x Gold Premium ETF,20,0.00298170645
0001771146,T-REX 2X Long SOL Daily Target ETF,34,0.00178830228
0001174610,ProShares CoinDesk Crypto 20 ETF,2,-0.00090973042
