fund_cik,n_rows,aum_b,n_series,sample_family,sample_fund
0000013075,5801,101.14975189657,1,Bond Fund of America,Bond Fund of America
0000050142,10606,48.16485842352009,1,Tax Exempt Bond Fund of America,Tax Exempt Bond Fund of America
0000826813,2849,28.536743012329993,1,Intermediate Bond Fund of America,Intermediate Bond Fund of America
0000925950,7418,26.592802561939994,1,American High-Income Municipal Bond Fund,American High-Income Municipal Bond Fund
0000823620,1027,26.300655375680005,1,American High Income Trust,American High Income Trust
0001475712,2964,24.58599130034005,1,Global Opportunities Portfolio,Global Opportunities Portfolio
0001484750,581,14.830779543739991,1,"COHEN & STEERS PREFERRED SECURITIES & INCOME FUND, INC.","Cohen & Steers Preferred Securities & Income Fund, Inc."
0000933188,1349,13.746830859420003,1,Senior Debt Portfolio,Senior Debt Portfolio
0001368040,1432,12.596046447450014,1,Short-Term Bond Fund of America,Short-Term Bond Fund of America
0000909427,3843,11.891700568969995,1,Limited Term Tax Exempt Bond Fund of America,Limited Term Tax Exempt Bond Fund of America
0001493214,2484,11.643930914339993,1,Global Macro Absolute Return Advantage Portfolio,Global Macro Absolute Return Advantage Portfolio
0000812303,2574,9.864997061990021,1,Capital World Bond Fund,Capital World Bond Fund
0001791032,1046,7.969504637659996,1,AXONIC FUNDS,Axonic Strategic Income Fund
0000883676,1788,7.406895027370005,1,"AB GLOBAL BOND FUND, INC.","AB GLOBAL BOND FUND, INC."
0000225030,874,7.388534378770001,1,AFL CIO Housing Investment Trust,AFL CIO Housing Investment Trust
0000915845,2135,6.245251554769979,1,AB HIGH INCOME FUND INC,AB HIGH INCOME FUND INC
0000918706,2461,6.13782523457001,1,Global Macro Portfolio,Global Macro Portfolio
0002025968,2061,5.054680991422998,6,BNY Mellon ETF Trust II,BNY Mellon Municipal Short Duration ETF
0001364924,356,5.027819200069995,1,Fidelity Rutland Square Trust II,Strategic Advisers Fidelity Short Duration Fund
0001766436,816,4.24841661163,2,Leader Funds Trust,Leader Capital Short Term High Yield Bond Fund
0001078195,2574,3.839409901079992,1,COMMUNITY CAPITAL TRUST,CCM Community Impact Bond Fund
0001652200,500,3.6714954418900008,1,"Cohen & Steers Low Duration Preferred & Income Fund, Inc.","Cohen & Steers Low Duration Preferred and Income Fund, Inc."
0000921370,962,3.471339785819998,1,High Income Opportunities Portfolio,HIGH INCOME OPPORTUNITIES PORTFOLIO
0001981627,204,3.0952252873499955,2,GMO ETF Trust,GMO U.S. Quality ETF
0001394395,2067,3.002834052540005,1,Emerging Markets Local Income Portfolio,Emerging Markets Local Income Portfolio
0000810744,652,2.761676242558002,1,COLORADO BONDSHARES A TAX EXEMPT FUND,Colorado BondShares A Tax Exempt Fund
0001557794,7152,2.540851766070007,1,Blackstone Alternative Investment Funds,Blackstone Alternative Multi-Strategy Fund
0002055464,62,2.0613884279700008,1,Wedbush Series Trust,Dan IVES Wedbush AI Revolution ETF
0000002646,3905,1.845505996600002,1,Voya Intermediate Bond Portfolio,VOYA INTERMEDIATE BOND PORTFOLIO
0001104129,765,1.7121086887500017,1,Core Bond Portfolio,Core Bond Portfolio
0000215740,964,1.643298075969999,1,ELFUN TAX EXEMPT INCOME FUND,ELFUN TAX EXEMPT INCOME FUND
0001606378,170,1.1411303468000005,2,Eubel Brady & Suttman Mutual Fund Trust,EUBEL BRADY & SUTTMAN INCOME AND APPRECIATION FUND
0001166729,598,0.9437288538899999,1,BERNSTEIN SANFORD C FUND II INC,Bernstein Intermediate Duration Institutional Portfolio
0001760077,492,0.8697885871599997,1,"Cohen & Steers Preferred Securities & Income SMA Shares, Inc.",Preferred Securities and Income SMA Shares
0001928846,84,0.8566665378899999,1,Short Duration Inflation-Protected Income Portfolio,Short Duration Inflation-Protected Income Portfolio
0001496608,796,0.6588206565100002,1,"AB Active ETFs, Inc.",AB US Equity ETF
0001924447,31,0.4850598058,2,Thor Financial Technologies Trust,THOR Index Rotation ETF
